catalog_order,canonical_code,work_slug,title,title_english,title_transliterated,genre,pitaka_division,section_key,section_label,section_title,fascicle_count,volume_ref,translator_slug,translator_name,translator_native_name,translator_role,notes
1,T0001,chang-ahan-jing,长阿含经,Long Discourses Collection,Chang Ahan Jing,agama_sutra,sutra,agamas,阿含部,阿含部,22,T1-T22,,,,,目录快照条目，阿含类长篇经集。
2,T0026,zhong-ahan-jing,中阿含经,Middle-Length Discourses Collection,Zhong Ahan Jing,agama_sutra,sutra,agamas,阿含部,阿含部,60,T26-T95,,,,,目录快照条目，阿含类中篇经集。
3,T0099,za-ahan-jing,杂阿含经,Connected Discourses Collection,Za Ahan Jing,agama_sutra,sutra,agamas,阿含部,阿含部,50,T99-T149,,,,,目录快照条目，阿含类杂集经。
4,T0125,zengyi-ahan-jing,增一阿含经,Numbered Discourses Collection,Zengyi Ahan Jing,agama_sutra,sutra,agamas,阿含部,阿含部,51,T125-T125,,,,,目录快照条目，阿含类增一经集。
5,T0220,da-banruo-boluomiduo-jing,大般若波罗蜜多经,Great Prajna Paramita Sutra,Da Bore Boluomiduo Jing,prajna_sutra,sutra,prajna,般若部,般若部,600,T220-T220,xuanzang,Xuanzang,玄奘,translator,目录快照条目，般若类大型译本。
8,T0221,fangguang-banruo-jing,放光般若经,Fangguang Prajna Sutra,Fangguang Banruo Jing,prajna_sutra,sutra,prajna,般若部,般若部,20,T221,wuluocha,Wuluocha,無羅叉,translator,目录快照条目，般若部长卷译本。
9,T0222,guangzan-jing,光赞经,Guangzan Sutra,Guangzan Jing,prajna_sutra,sutra,prajna,般若部,般若部,10,T222,zhufahu,Zhufahu,竺法護,translator,目录快照条目，般若部代表性译本。
10,T0223,mohe-banruo-boluomi-jing,摩诃般若波罗蜜经,Maha Prajna Paramita Sutra,Mohe Banruo Boluomi Jing,prajna_sutra,sutra,prajna,般若部,般若部,27,T223,kumarajiva,Kumarajiva,鸠摩罗什,translator,目录快照条目，般若部长卷译本。
11,T0225,damingdu-jing,大明度经,Damingdu Sutra,Damingdu Jing,prajna_sutra,sutra,prajna,般若部,般若部,6,T225,zhiqian,Zhiqian,支謙,translator,目录快照条目，般若部中卷译本。
12,T0226,mohe-banruochao-jing,摩诃般若钞经,Maha Prajna Excerpt Sutra,Mohe Banruochao Jing,prajna_sutra,sutra,prajna,般若部,般若部,5,T226,,,,,目录快照条目，般若部异译文本。
13,T0227,xiaopin-banruo-boluomi-jing,小品般若波罗蜜经,Smaller Prajna Paramita Sutra,Xiaopin Banruo Boluomi Jing,prajna_sutra,sutra,prajna,般若部,般若部,10,T227,kumarajiva,Kumarajiva,鸠摩罗什,translator,目录快照条目，般若部代表性短卷译本。
6,T0235,jingang-banruo-boluomi-jing,金刚般若波罗蜜经,Diamond Sutra,Jingang Bore Boluomi Jing,prajna_sutra,sutra,prajna,般若部,般若部,1,T235,kumarajiva,Kumarajiva,鸠摩罗什,translator,目录快照条目，般若类短经代表。
