༄༅༅། །འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་བརྒྱད་པ་སྟེ་ཁྱིམ་བདག་དཔས་བྱིན་གྱིས་ཞུས་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བཱི་ར་དཏྟ་གྲྀ་ཧ་པ་ཏི་པ་རི་པྲྀཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱིམ་བདག་དཔས་བྱིན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Householder Vīradatta
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
།འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན། དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་ཐམས་ཅད་ཀྱང་དགྲ་བཅོམ་པ། ཟག་པ་ཟད་པ། ||| The Blessed One was staying in Prince Jeta’s Grove, Anāthapiṇḍada’s pleasure garden, in Śrāvastī together with a great monastic assembly of 1,250 monks. All were arhats whose contaminants had been exhausted.
ཉོན་མོངས་པ་མེད་པ། དབང་དང་ལྡན་པར་གྱུར་པ། ||| They were free from defilements and had attained mastery.
སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ། ཤེས་རབ་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ། ཅང་ཤེས་པ། ||| Their minds were completely free, and their insight perfectly liberated.
གླང་པོ་ཆེན་པོ། བྱ་བ་བྱས་པ། བྱེད་པ་བྱས་པ། ||| They were well-born great elephants, successful and accomplished.
ཁུར་བོར་བ། བདག་གི་དོན་རྗེས་སུ་ཐོབ་པ། ||| They had laid down their burdens and fulfilled their aims.
སྲིད་པར་ཀུན་ཏུ་སྦྱོར་བ། ཡོངས་སུ་ཟད་པ། ཡང་དག་པའི་ཤེས་པས་སེམས་ཤིན་ཏུ་རྣམ་པར་གྲོལ་བ། ||| They had eliminated the fetters of existence, and their minds were completely liberated through perfect knowledge.
སེམས་ཀྱི་དབང་ཐམས་ཅད་ཀྱི་དམ་པའི་ཕ་རོལ་དུ་སེམས་པ། མངོན་པར་ཤེས་པས་མངོན་པར་ཤེས་པ་ཤ་སྟག་སྟེ། ||| They had attained supreme perfection in mastering all mental states.
གང་ཟག་གཅིག་མ་གཏོགས་པ་ནི་འདི་ལྟ་སྟེ། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོའོ། ||| Indeed, they were all this way—with the exception of one person, Venerable Ānanda.
།བྱང་ཆུབ་སེམས་དཔའ་ལྔ་བརྒྱ་ཐམས་ཅད་ཀྱང་གཟུངས་ཐོབ་པ། ཏིང་ངེ་འཛིན་ཐོབ་པ་ཤ་སྟག་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| They were accompanied by five hundred bodhisattvas, all of whom had attained retention and meditative absorption.
དེའི་ཚེ་གྲོང་ཁྱེར་ཆེན་པོ་མཉན་ཡོད་ན་ཁྱིམ་བདག་དཔས་བྱིན་ཞེས་བྱ་བ་ཕྱུག་པ། ནོར་ཆེ་བ། བདག་དབང་བ་མང་བ། ནོར་དང་ཡོ་བྱད་མང་བ། ནོར་དང་། འབྲུ་དང་། མཛོད་དང་། བང་བའི་ཚོགས་མང་བ། ||| At that time, in the great city of Śrāvastī there was a householder named Vīradatta who had immense wealth, extensive assets, abundant capital and provisions, and multiple storehouses and treasuries of jewels and grain.
གླང་པོ་ཆེ་དང་། རྟ་དང་། རྔ་མོ་དང་། ར་ལུག་དང་། བ་ལང་མང་བ། བྲན་ཕོ་དང་། བྲན་མོ་དང་། ལས་བྱེད་པ་དང་། ཞོ་ཤས་འཚོ་བ་མང་བ། ||| He had many elephants, horses, camels, goats, and cows, and he also possessed many male and female slaves, employees, and day laborers.
