སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རི་ཁ་ལ་ཏི་ཀ་ན་གནས་ཐུབ་པའི་དྲང་སྲོང་རྣམས་ཀྱི་གནས་ན། ||| The Bhagavān was dwelling on the Khalatika Mountain, in the abode of the Sage’s seers
ཉན་ཐོས་ཆེན་པོ་བགྲང་བ་ལས་འདས་པའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་གོ། ||| together with an incalculably large assembly of monks and of great śrāvakas.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དཔག་ཏུ་མེད། ||| Great bodhisattva mahāsattvas in numbers as limitless as the grains of sand of the river Ganges,
གྲངས་མེད་པའི་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཆེན་པོ་དང་ཡང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| forming an incalculably immense assembly of bodhisattvas, were also staying there.
དེ་བཞིན་གཤེགས་པའི་དཔལ་གྱི་དམ་ཚིག་ལུང་བསྟན་པའི་མཐར་ཕྱིན་མ་ཐག་ཏུ་ ||| The moment the Bhagavān completed his prophecy on the splendid vows of the tathāgatas,
ཡང་དེའི་ཚེ་ན་ནུབ་ཕྱོགས་ན་བརྒྱ་བྱིན་ཐོགས་པའི་ནོར་བུ་རིན་པོ་ཆེ་ ||| the Indranīla jewel appeared in the west.
འབུམ་ཕྲག་དུ་མས་བསྐོར་ཅིང་མདུན་དུ་བདར་བའི་ཡིད་བཞིན་གྱི་ནོར་བུ་རིན་པོ་ཆེ་སྣང་སྟེ། ། ||| Many hundreds of thousands of precious wish-fulfilling jewels spread out and surrounded it.
ཡང་ནོར་བུ་རིན་པོ་ཆེ་དེའི་འོད་ཀྱིས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ན་གཟུགས་སུ་སྣང་བ་ཐམས་ཅད་མ་ལུས་པར་མི་སྣང་བར་གྱུར་ཏེ། ||| The light of that precious jewel rendered invisible the totality of manifest form in the whole trichiliocosm.
དེ་བཞིན་གཤེགས་པ་མ་གཏོགས་པར་གང་ལྷ་དང་། མི་རྣམས་དང་། ཉན་ཐོས་རྣམས་དང་། གང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དང་། ||| Thus, with the exception of the tathāgatas, all gods and humans, śrāvakas, and bodhisattvas,
གང་ས་དང་། ཆུ་དང་། མེ་དང་། རླུང་རྣམས་ཀྱི་གཟུགས་སུ་སྣང་བའི་འབྱུང་བ་ཆེན་པོ་ཇི་སྙེད་པའི་འབྱུང་བ་ཆེན་པོ་སྣང་བ་དེ་དག་ ||| as well as the manifest forms of the great elements of earth, water, fire, and air—however many manifestations there were of the great elements
ཐམས་ཅད་མ་ལུས་པར་སྤངས་པར་གྱུར་ཅིང་ནོར་བུ་རིན་པོ་ཆེ་སྣང་ངོ་། ||| —all without exception were obliterated, and only the precious jewel remained visible.
ལྷག་མ་དག་ཀྱང་མཐའ་ཡས་མུ་མེད་པ་བརྗོད་དུ་མེད་པ་ནམ་མཁའ་བཞིན་དུ་སྣང་ངོ་། ། ||| Everything appeared to be limitless, boundless, and ineffable like space.
བཅོམ་ལྡན་འདས་ཀྱང་ཤིན་ཏུ་ལྷམ་མེ། ལྷན་ནེ། ལྷང་ངེར་གྱུར་ཏོ། ||| The Bhagavān, too, became most radiant, clear, and brilliant.
སེམས་ཅན་གང་དག་དེར་འདུས་པ་དེ་དག་ཀྱང་བདག་ཀྱང་མི་མཐོང་ངོ་། །གཅིག་གིས་གཅིག་ཀྱང་མི་མཐོང་ངོ་། ། ||| Indeed, the sentient beings assembled there could not even see themselves, or each other.
དེ་དག་ལ་འབྱུང་བ་ཆེན་པོའི་གཟུགས་སུ་སྣང་བ་ཐམས་ཅད་འགགས་ནས་ཡང་མིག་ཏུ་སྣང་བར་མ་གྱུར་ཏོ། ། ||| For them, all visible manifestations of the great elements also ceased and became imperceptible to the eye.
བདག་བདག་གི་ལུས་ཀྱི་གཟུགས་དང་། མཚན་དང་། དབྱིབས་དང་། རིག་པ་ཡང་མི་དམིགས་པར་གྱུར་ཏེ། ||| They could not perceive their bodies, their features, or shapes, nor did they have a sense of touch.
གང་དང་གང་གིས་བརྟགས་པ་དེ་དང་དེ་དག་སྟོང་པར་མཐོང་ངོ་། ། ||| Whatever they observed, howsoever they observed it, they saw as empty.
ཉི་མ་དང་ཟླ་བའི་དཀྱིལ་འཁོར་ཡང་མི་མཐོང་། ||| They did not even see the orbs of the sun or the moon.
