ལས་ཀྱི་རྣམ་པར་འགྱུར་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་གཞུང་། བམ་པོ་གཅིག་གོ། ། ||| The Dharma Scripture “Exposition of Karma” in one fascicle
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time:
བཅོམ་ལྡན་འདས་མཉན་དུ་ཡོད་པ་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན། དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་བརྒྱ་ཕྲག་ཕྱེད་དང་བཅུ་གསུམ་དང་ལྷན་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Bhagavān was staying in Śrāvastī in Prince Jeta’s Grove, the park donated by Anāthapiṇḍada, together with a large assembly of twelve hundred fifty monks.
དེ་ནས་ཏོའུ་ཏེ་ཡའི་བུ་ཤུ་ཀོ་མ་ན་བ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ ||| On that occasion the brahmin youth Śuka, the son of Taudeya, went to where the Bhagavān was staying.
ཕྱིན་ནས། བཅོམ་ལྡན་འདས་དང་ལྷན་ཅིག་ཏུ་ཡང་དག་པར་མགུ་བ་དང་། ཡང་དག་པར་རངས་པའི་གཏམ་རྣམ་པ་མང་པོ་བཤད་དེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| Upon his arrival, he exchanged many courteous and amiable pleasantries with the Bhagavān and remained standing to one side.
ཏོའུ་ཏེ་ཡའི་བུ་ཤུ་ཀོ་མ་ན་བ་ཕྱོགས་གཅིག་ཏུ་འདུག་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The brahmin youth Śuka, the son of Taudeya, then addressed the Bhagavān with the following question:
གཽ་ཏ་མ་ཁྱོད་ལ་བདག་ཅུང་ཤས་ཤིག་འདྲི་ན་དྲིས་པའི་ལན་སླར་བཀའ་སྩལ་དུ་གསོལ། ||| “Gautama, if I ask you a small question, will you kindly give an answer?” [868]
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཏོའུ་ཏེ་ཡའི་བུ་ཤུ་ཀོ་མ་ན་བ་ལ་འདི་སྐད་ཅེས་གསུངས་སོ། །མ་ན་བ་ཇི་ལྟར་འདོད་པ་བཞིན་དུ་དྲིས་ཤིག །ངས་ཁྱོད་ལ་བཤད་པར་བྱའོ། ། ||| The Bhagavān replied, “Young brahmin, ask whatever you like! I will answer.”
དེ་ནས་ཏོའུ་ཏེ་ཡའི་བུ་ཤུ་ཀོ་མ་ན་བས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then the brahmin youth Śuka, the son of Taudeya, asked the Bhagavān the following question:
ཀྱེ་གཽ་ཏ་མ་སེམས་ཅན་རྣམས་ལ་ཚེ་ཐུང་བ་དང་། ཚེ་རིང་བ་དང་། ནད་མང་བ་དང་། ནད་ཉུང་བ་དང་། མི་སྡུག་པ་དང་། བཟང་པོ་དང་། དབང་ཆུང་བ་དང་། དབང་ཆེ་བ་དང་། མ་རབས་ཀྱི་རིགས་དང་། ཡ་རབས་ཀྱི་རིགས་དང་། དབུལ་པོ་དང་། ཕྱུག་པོ་དང་། ངན་པ་དང་། ཤེས་རབ་ཆེ་ཆུང་དང་། སྐྱིད་སྡུག་ལ་སོགས་པ་རྣམ་པ་མང་དུ་མཆིས་ན ||| “Sir Gautama, there are many types of sentient beings, such as beings who have a short lifespan or a long lifespan, have many illnesses or few illnesses, are ugly or beautiful, have little power or are powerful, are highborn or lowborn, are poor or rich, are ignorant of the Dharma, or possess knowledge of the Dharma to a lesser or greater degree, have good or bad fortune, and so forth.
ཀྱེ་གཽ་ཏ་མ་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་གང་གི་ཕྱིར་ན་སེམས་ཅན་སྣ་མང་པོར་འགྱུར། ||| How does karmic ripening lead to this diversity of beings?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། མ་ན་བ་ཁྱོད་ཉོན་ལ་དགེ་བར་ཤིན་ཏུ་ཡིད་ལ་ཟུང་ཤིག་དང་། དེའི་ཕྱིར་ངས་བཤད་དོ། ། ||| The Bhagavān replied, “Young brahmin, listen and pay careful attention to what I shall explain.
