འཕགས་པ་རིན་ཆེན་ཟླ་བས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratna­candra
ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Omniscient One.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན་བྱ་རྒོད་ཕུང་པོའི་རི་ལ་ ||| The Blessed One was residing in Rājagṛha, on Vulture Peak Mountain,
ཤཱ་རིའི་བུ་དང་། མཽད་གལ་གྱི་བུ་ཆེན་པོ་ལ་སོགས་པ་དགེ་སློང་འབུམ་ཕྲག་བདུན་ཅུ་རྩ་གཉིས་ཀྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་རྣམས་དང་། ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ ||| together with a large community of 7,200,000 monks, including Śāriputra and Maudgal­yāyana.
བྱང་ཆུབ་སེམས་དཔའ་དགུ་ཁྲི་ལ་ ||| There were also 90,000 bodhisattvas,
འདི་ལྟ་སྟེ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཇམ་དཔལ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་མི་ཟད་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་རྒྱ་མཚོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་མཐའ་ཡས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་བརྟན་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཁམས་གསུམ་རྣམ་པར་གནོན་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལག་ན་རིན་པོ་ཆེ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྨན་གྱི་རྒྱལ་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རིན་ཆེན་འབྱུང་གནས་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དགའ་སྡུག་དང་། དེ་དག་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་དགུ་ཁྲི་དང་། ||| including the bodhisattva great being Maitreya, the bodhisattva great being Mañjuśrī, the bodhisattva great being Akṣaya­mati, the bodhisattva great being Sāgara­mati, the bodhisattva great being Ananta­mati, the bodhisattva great being Dṛḍhamati, the bodhisattva great being Dispeller of the Three Realms, the bodhisattva great being Ratnapāṇi, the bodhisattva great being Vaidyarāja, the bodhisattva great being Ratnākara, and the bodhisattva great being Joy and Sorrow.
ལྷའི་བུ་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དུ་མ་དག་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་། ||| There were also many billions of gods, including the Four Great Kings;
ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་གཡོག་འཁོར་ལྷའི་བུ་འབུམ་ཕྲག་དུ་མ་དང་བཅས་པ་དང་། ||| Śakra, king of the gods, along with his millions of divine attendants;
མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་གཡོག་འཁོར་ཚངས་རིས་ཀྱི་ལྷའི་བུ་འབུམ་ཕྲག་དུ་མ་དང་བཅས་པ་དང་། ||| and Brahmā, lord of the Enduring world, along with his millions of divine attendants from the Brahmā realm.
ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོ་དང་། ཀླུའི་རྒྱལ་པོ་མ་དྲོས་པ་དང་། ཀླུའི་རྒྱལ་པོ་ཨེ་ལའི་འདབ་དང་། ཀླུའི་རྒྱལ་པོ་ཀུན་དུ་གྲགས་དང་། དེ་དག་ལ་སོགས་པ་ཀླུ་འབུམ་ཕྲག་དུ་མ་དང་། ||| There were also millions of nāgas, including the nāga king Sāgara, the nāga king Anavatapta, the nāga king Elapatra, and the nāga king Renowned .
