བཅོམ་ལྡན་འདས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Bhagavān Mañjuśrīkumārabhūta!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་བྱ་རྒོད་ཕུང་པོའི་རི་ལ་དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རབ་ཏུ་མང་པོ་དང་ཐབས་ཅིག་ཏུ་ཞུགས་ཏེ། ||| The Bhagavān was dwelling in Rājagṛha on Vulture Peak Mountain together with a great monastic assembly of 1,250 monks and a multitude of bodhisattva mahāsattvas.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་སྟན་ལས་ལངས་ཏེ། ||| At that time, the bodhisattva mahāsattva Noble Avalokiteśvara rose from his seat,
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་པད་མའི་ལྟེ་བ་ལ་བཙུགས་ཏེ། ||| arranged his upper robe on one shoulder, and placed his right knee in the center of a lotus flower.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Joining his hands in devotion toward the Bhagavān, he asked him,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་ཀྱི་སེམས་བསྐྱེད་མ་ཐག་པའི་བྱང་ཆུབ་སེམས་དཔས་ཆོས་དུ་ཞིག་ལ་བསླབ་པར་བགྱི། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| “Bhagavān, in how many qualities should a bodhisattva train, just after generating the altruistic mind set on attaining awakening?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Bhagavān replied to the bodhisattva mahāsattva Noble Avalokiteśvara’s inquiry with the following words:
རིགས་ཀྱི་བུ་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་མ་ཐག་པའི་བྱང་ཆུབ་སེམས་དཔས་ཆོས་བདུན་ལ་བསླབ་པར་བྱ་སྟེ། ||| “Kulaputra, bodhisattvas should train in seven qualities just after generating the altruistic mind set on attaining awakening.
བདུན་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are the seven? They are as follows:
རྣམ་པར་རྟོག་པས་ཀྱང་འདོད་པ་ལ་སྟེན་པར་མི་བྱེད་ན་དབང་པོ་གཉིས་ཀྱིས་སྦྱོར་བ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས། ||| One should not have sexual enjoyment even in thought, not to mention joining together the two sexual organs.
ཐ་ན་རྨི་ལམ་གྱི་ནང་དུ་ཡང་མི་དགེ་བའི་བཤེས་གཉེན་སྟེན་པར་མི་བྱེད་པ་དང་། ||| One should not take up with a nonvirtuous friend even in dreams.
