འཕགས་པ་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ། ||| The Noble Application of Mindfulness of the Sacred Dharma
སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་དང་། རང་སངས་རྒྱས་དང་། འཕགས་པ་ཉན་ཐོས་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all the buddhas, bodhisattvas, solitary buddhas, and noble hearers!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ། ན་ལ་ཏིའི་གྲོང་གི་བྲམ་ཟེའི་གྲོང་ན་བཞུགས་སོ། །དེའི་ཚེ་ན་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ། དགེ་སློང་རབ་ཏུ་མང་པོ་དག་དང་ལྷན་ཅིག་ཏུ་སྔ་དྲོའི་དུས་ཀྱི་ཚེ་རྒྱལ་པོའི་ཁབ་ཏུ་བསོད་སྙོམས་ཀྱི་ཕྱིར་དོང་ངོ་། ། ||| While the Blessed One was residing in the brahmin quarter of the village of Nālati near Rājagṛha, venerable Śāradvatīputra one morning went to Rājagṛha together with a great gathering of monks to collect alms.
དེའི་ཚེ་དགེ་སློང་རབ་ཏུ་མང་པོ་དག་བསོད་སྙོམས་ཀྱི་ཕྱིར་རྒྱུ་བ་ན། གཞན་མུ་སྟེགས་ཅན་སྤྱོད་པ་པ་ཀུན་ཏུ་རྒྱུ་བ་དག་ག་ལ་བ་དེར་དོང་སྟེ། གཞན་མུ་སྟེགས་ཅན་སྤྱོད་པ་པ་ཀུན་ཏུ་རྒྱུ་བ་དག་དང་ལྷན་ཅིག་ཏུ་ཡང་དག་པར་དགའ་བར་འགྱུར་བ་དང་། ཡང་དག་པར་མགུ་བར་འགྱུར་བའི་ཆོས་ཀྱི་གཏམ་བྱས་ནས་ ||| As they were out receiving alms, a large group of the monks came across some wandering non-Buddhist practitioners who were on the way to the same destination, and together they engaged in a Dharma discussion to everyone’s delight and appreciation.
གཞན་མུ་སྟེགས་ཅན་སྤྱོད་པ་པ་ཀུན་ཏུ་རྒྱུ་བ་དག་གིས་དྲིས་པ། ||| During their discussions some of the non-Buddhists asked,
ཀྱེ་ཤཱཀྱ་པ་དག་ཁྱེད་ཅག་གི་དགེ་སྦྱོང་གཽ་ཏ་མ་ལུས་ཀྱི་ཆད་པ་མི་དགེ་བ་མི་འདོད་པ་མི་སྡུག་པ་ཡིད་དུ་མི་འོང་བ་སྟོན་ཅིང་གཞན་དག་གི་ལ་ཡང་རྗེས་སུ་ཡི་རང་བར་མི་བྱེད་པ་བདེན་ནམ། ||| “Ah, you Śākya followers, does not your mendicant Gautama teach that misdeeds of the body are unattractive, ugly, and unpleasant, and that one should refrain from rejoicing in them even when they are done by another?
ངེད་ཅག་ཀྱང་ལུས་ཀྱི་ཆད་པ་མི་འདོད་པ་མི་སྡུག་པ་ཡིད་དུ་མི་འོང་བ་སྟོན་ཅིང་གཞན་དག་གི་ལ་ཡང་རྗེས་སུ་ཡི་རང་བར་མི་བྱེད་དོ། ། ||| We also consider misdeeds of the body to be unattractive, ugly, and unpleasant, and we do not rejoice in them even when done by others.
ཀྱེ་ཁྱེད་ཅག་གི་དགེ་སྦྱོང་གཽ་ཏ་མ་ངག་གི་ཆད་པ་མི་འདོད་པ་མི་སྡུག་པ་ཡིད་དུ་མི་འོང་བ་སྟོན་ཅིང་གཞན་དག་གི་ལ་ཡང་རྗེས་སུ་ཡི་རང་བར་མི་བྱེད། ||| Does not your mendicant Gautama teach that misdeeds of speech are unattractive, ugly, and unpleasant, and that one should refrain from rejoicing in them even when done by another?
ངེད་ཅག་ཀྱང་ངག་གི་ཆད་པ་མི་འདོད་པ་མི་སྡུག་པ་ཡིད་དུ་མི་འོང་བ་སྟོན་ཅིང་གཞན་དག་གི་ལ་ཡང་རྗེས་སུ་ཡི་རང་བར་མི་བྱེད་དོ། ། ||| We also consider misdeeds of speech to be unattractive, ugly, and unpleasant, and we do not rejoice in them even when done by others.
ཁྱེད་ཅག་གི་དགེ་སྦྱོང་གཽ་ཏ་མ་ཡིད་ཀྱི་ཆད་པ་མི་འདོད་པ་མི་སྡུག་པ་ཡིད་དུ་མི་འོང་བ་སྟོན་ཅིང་གཞན་དག་གི་ལ་ཡང་རྗེས་སུ་ཡི་རང་བར་མི་བྱེད། ||| Does not your mendicant Gautama teach that misdeeds of the mind are unattractive, ugly, and unpleasant, and that one should refrain from rejoicing in them even when done by another?
ངེད་ཀྱང་ཡིད་ཀྱི་ཆད་པ་མི་འདོད་པ་མི་སྡུག་པ་ཡིད་དུ་མི་འོང་བ་སྟོན་ཅིང་གཞན་དག་གི་ལ་ཡང་རྗེས་སུ་ཡི་རང་བར་མི་བྱེད་ན། ||| We also consider misdeeds of the mind to be unattractive, ugly, and unpleasant, and we do not rejoice in them even when done by others.
ཁྱེད་ཀྱི་དགེ་སྦྱོང་གཽ་ཏ་མའི་ཆོས་ འདུལ་བ་དང་ངེད་ཀྱི་ཐ་དད་དུ་བྱ་བ་ཅི་ཡོད། ||| What difference is there between your mendicant Gautama’s Dharma-Vinaya and our own?
བསམ་པ་ནི་ཅི་ཡོད། ||| What are the ideas?
ཁྱད་པར་ནི་ཅི་ཡོད། ||| What are the distinctive points?
གང་གིས་ན་དགེ་སྦྱོང་གཽ་ཏ་མའི་ཆོས་འདུལ་བ་ནི་ངེད་ཀྱི་ལས་ཁྱད་པར་དུ་འཕགས། ||| What makes the Dharma-Vinaya of your mendicant Gautama superior to ours?
དགེ་སྦྱོང་གཽ་ཏ་མ་དེ་ནི་ཐམས་ཅད་མཁྱེན་པ་ཡིན་ནོ་ཞེས་བདག་ཉིད་སྒྲོགས། ||| The mendicant Gautama claims that he is omniscient.”
གཞན་མུ་སྟེགས་ཅན་སྤྱོད་པ་པ་ཀུན་ཏུ་རྒྱུ་བ་དག་གིས་དེ་སྐད་དྲིས་པ་དང་། དགེ་སློང་གསར་དུ་རབ་ཏུ་བྱུང་བ་དག་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་དང་བྲལ་བས་རྗེས་སུ་ཡི་རང་བར་ཡང་མི་བྱེད་ལན་ཡང་མ་བཏབ་བོ། ། ||| When faced with these questions by the wandering non-Buddhist practitioners, the group of newly ordained monks neither approved nor responded because the venerable Śāradvatīputra was absent.
