༄༅། །རྒྱ་གར་སྐད་དུ། མཱ་ཡཱ་ཛཱ་ལཾ་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་སྒྱུ་མའི་དྲ་བ་ཞེས་བྱ་བ། དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Mahāsūtra “Illusion’s Net” Homage to the Three Jewels.
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་དུ་ཡོད་པ་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ། མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་བཞུགས་སོ། ། ||| The Blessed One was staying in Śrāvastī, in Prince Jeta’s Grove, Anāthapiṇḍada’s Park.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། དགེ་སློང་དག་ལྷག་པའི་ཚུལ་ཁྲིམས་ཀྱི་བསླབ་པ་ཡོད་ལ། ལྷག་པའི་སེམས་མེད་ཅིང་། ལྷག་པའི་ཤེས་རབ་མེད་པ་དང་། ལྷག་པའི་ཚུལ་ཁྲིམས་དང་། ||| He addressed the monks as follows: “Monks, one may possess the training in superior discipline but lack superior contemplation and superior wisdom, and one may possess the training in superior discipline and superior contemplation but lack superior wisdom.
ལྷག་པའི་སེམས་ཀྱི་བསླབ་པ་ཡོད་ལ། ལྷག་པའི་ཤེས་རབ་མེད་པ་ཡང་ཡོད་དེ། འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་བརྩོན་པའི་རྗེས་སུ་སྦྱོར་བ་ལ་གནས་ན་ལྷག་པའི་ཚུལ་ཁྲིམས་དང་། ལྷག་པའི་སེམས་ཀྱི་བསླབ་པའི་བསྒོམ་པ་ཡོངས་སུ་རྫོགས་པར་འགྱུར་ཏེ། ||| However, when a noble hearer is established in the practice of striving for superior wisdom, the cultivation of superior discipline and superior contemplation will be perfected.
དགེ་སློང་དག་དེ་ལྟར་ན། འདི་ལ་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་སྦྱོར་བར་རྗེས་སུ་ཞུགས་པ་ལ་གནས་པ་ནི་ཤེས་རབ་ཀྱིས་འཚོ་བ་རྣམས་ཀྱི་ནང་ན་བླ་ན་མེད་པས་འཚོ་བ་ཡིན་ནོ། ། ||| Thus, monks, noble hearers who remain engaged in practicing superior wisdom are supported by wisdom, which among all supports is unsurpassed.
དགེ་སློང་དག་ཇི་ལྟར་ན་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་སྦྱོར་བར་རྗེས་སུ་ཞུགས་པ་ལ་གནས་པ། ཤེས་རབ་ཀྱིས་འཚོ་བ་རྣམས་ཀྱི་ནང་ན་བླ་ན་མེད་པས་འཚོ་བ་ཡིན་ཞེ་ན། ||| “Monks, how are noble hearers who remain engaged in practicing superior wisdom supported by wisdom, which among all supports is unsurpassed?
དགེ་སློང་དག་འདི་ལ་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་སྦྱོར་བར་རྗེས་སུ་ཞུགས་པ་ལ་གནས་པ་ནི་བདག་སྔོན་མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ནི་རྗེས་སུ་ཆགས་ཤིང་གནས་པར་གྱུར་ལ། ||| Monks, noble hearers who remain engaged in practicing superior wisdom consider the following to conduct a thorough analysis: ‘Formerly, I became and remained attached to pleasant forms perceived by the eyes.
མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ནི་ཁོང་ཁྲོ་བ་དང་ལྡན་ཞིང་གནས་པར་གྱུར། ||| I became and remained averse to unpleasant forms perceived by the eyes.
མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ལ་ནི་སོ་སོར་བརྟགས་པ་མ་ཡིན། སོ་སོར་བརྟགས་པ་མ་ཡིན་པའི་བཏང་སྙོམས་སུ་གནས་པར་འགྱུར་ཏེ། ||| I became and remained thoughtlessly indifferent to neutral forms perceived by the eyes.
དེ་ལྟར་བདག་ཡུན་རིང་བོ་ནས་འདི་ལ་རྗེས་སུ་སློབ་ཅིང་རྗེས་སུ་བྱེད་པ་ན་རྒ་བ་དང་། འཆི་བ་ཉམས་སུ་མྱོང་ཞིང་། སྔོན་གྱི་མཐའ་མི་མངོན་པར་གྱུར་པས། ||| I have trained myself and behaved in this way for a long time, and so I have experienced old age and death.
